CountryName,CountryCode,Year,Crop production index (2004-2006 = 100)
Bosnia and Herzegovina,BIH,1963,67.5
Botswana,BWA,1963,48.74
Brazil,BRA,1963,24.82
Brunei Darussalam,BRN,1963,73.95
Bulgaria,BGR,1963,136.82
Burkina Faso,BFA,1963,18.84
Burundi,BDI,1963,54.67
Cabo Verde,CPV,1963,48
Cambodia,KHM,1963,49.71
Cameroon,CMR,1963,31.04
Canada,CAN,1963,43.41
Cayman Islands,CYM,1963,113.9
Chad,TCD,1963,42.23
Chile,CHL,1963,30.28
China,CHN,1963,19.69
Colombia,COL,1963,32.72
Comoros,COM,1963,46.2
"Congo, Dem. Rep.",ZAR,1963,62.75
"Congo, Rep.",COG,1963,44.15
Costa Rica,CRI,1963,18.08
Cote d'Ivoire,CIV,1963,20.94
Croatia,HRV,1963,100.1
Cuba,CUB,1963,57.21
Cyprus,CYP,1963,91.48
Czech Republic,CZE,1963,105.2
Denmark,DNK,1963,62.08
Djibouti,DJI,1963,2.79
Dominica,DMA,1963,87.69
Dominican Republic,DOM,1963,70.8
Ecuador,ECU,1963,43.96
"Egypt, Arab Rep.",EGY,1963,27.66
El Salvador,SLV,1963,73
Equatorial Guinea,GNQ,1963,132.05
Eritrea,ERI,1963,61.4
Estonia,EST,1963,135.2
Ethiopia,ETH,1963,50.9
Faeroe Islands,FRO,1963,151.92
Fiji,FJI,1963,89.54
Finland,FIN,1963,64.05
France,FRA,1963,73.19
French Polynesia,PYF,1963,142.82
Gabon,GAB,1963,33.69
"Gambia, The",GMB,1963,69.27
Georgia,GEO,1963,134.7
Germany,DEU,1963,95.92
Ghana,GHA,1963,28.1
Greece,GRC,1963,49.95
Grenada,GRD,1963,142.62
Guam,GUM,1963,27.54
Guatemala,GTM,1963,23.88
Guinea,GIN,1963,33.32
Guinea-Bissau,GNB,1963,39.17
Guyana,GUY,1963,64.75
Haiti,HTI,1963,81.57
Honduras,HND,1963,32.14
"Hong Kong SAR, China",HKG,1963,228.52
Hungary,HUN,1963,66.92
Iceland,ISL,1963,40.21
India,IND,1963,35.74
Indonesia,IDN,1963,21.63
"Iran, Islamic Rep.",IRN,1963,13.21
Iraq,IRQ,1963,31.67
Ireland,IRL,1963,91.81
Israel,ISR,1963,33.79
Italy,ITA,1963,79.48
Jamaica,JAM,1963,116.28
Japan,JPN,1963,126.29
Jordan,JOR,1963,43.07
Kazakhstan,KAZ,1963,101.8
Kenya,KEN,1963,26.63
Kiribati,KIR,1963,37.33
"Korea, Dem. Rep.",PRK,1963,45.74
"Korea, Rep.",KOR,1963,39.6
Kuwait,KWT,1963,1.73
Kyrgyz Republic,KGZ,1963,54.9
Lao PDR,LAO,1963,18.21
Latvia,LVA,1963,126
Lebanon,LBN,1963,37.42
Lesotho,LSO,1963,88.23
Liberia,LBR,1963,46.53
Libya,LBY,1963,15.91
Liechtenstein,LIE,1963,41.83
Lithuania,LTU,1963,119.3
"Macao SAR, China",MAC,1963,36.27
Madagascar,MDG,1963,45.93
Malawi,MWI,1963,22.83
Malaysia,MYS,1963,17.59
Maldives,MDV,1963,57.58
Mali,MLI,1963,24.18
Malta,MLT,1963,62.55
Marshall Islands,MHL,1963,102.9
Mauritania,MRT,1963,50.42
Mauritius,MUS,1963,104.88
Mexico,MEX,1963,32.51
Moldova,MDA,1963,168.8
Mongolia,MNG,1963,100.99
Morocco,MAR,1963,31.33
Mozambique,MOZ,1963,54.25
Myanmar,MMR,1963,24.14
Namibia,NAM,1963,32.32
Nepal,NPL,1963,28.78
Netherlands,NLD,1963,47.62
New Caledonia,NCL,1963,126.57
New Zealand,NZL,1963,22.81
Nicaragua,NIC,1963,49.57
Niger,NER,1963,33.15
Nigeria,NGA,1963,24.32
Norway,NOR,1963,125.91
Oman,OMN,1963,16.88
Pakistan,PAK,1963,23.55
Panama,PAN,1963,68.67
