CountryName,CountryCode,Year,Food production index (2004-2006 = 100)
Solomon Islands,SLB,1962,30.26
Somalia,SOM,1962,47.78
South Africa,ZAF,1962,42.77
Spain,ESP,1962,37.99
Sri Lanka,LKA,1962,44.66
St. Kitts and Nevis,KNA,1962,247.5
St. Lucia,LCA,1962,186.69
St. Vincent and the Grenadines,VCT,1962,94.75
Sudan,SDN,1962,22.61
Suriname,SUR,1962,49.12
Swaziland,SWZ,1962,34.86
Sweden,SWE,1962,100.3
Switzerland,CHE,1962,83.78
Syrian Arab Republic,SYR,1962,19.55
Tanzania,TZA,1962,26.17
Thailand,THA,1962,27.99
Timor-Leste,TMP,1962,81.64
Togo,TGO,1962,36.66
Tonga,TON,1962,102.46
Trinidad and Tobago,TTO,1962,91.8
Tunisia,TUN,1962,25.77
Turkey,TUR,1962,36.19
Tuvalu,TUV,1962,78.2
Uganda,UGA,1962,31.48
United Arab Emirates,ARE,1962,4.12
United Kingdom,GBR,1962,74.77
United States,USA,1962,45.95
Uruguay,URY,1962,45.02
Vanuatu,VUT,1962,61.03
"Venezuela, RB",VEN,1962,25.48
Vietnam,VNM,1962,22.22
Virgin Islands (U.S.),VIR,1962,256.27
"Yemen, Rep.",YEM,1962,28.73
Zambia,ZMB,1962,30.29
Zimbabwe,ZWE,1962,44.65
Arab World,ARB,1963,25.96053826
Caribbean small states,CSS,1963,70.63357918
East Asia & Pacific (all income levels),EAS,1963,20.81272771
East Asia & Pacific (developing only),EAP,1963,17.3317653
Euro area,EMU,1963,66.18149112
European Union,EUU,1963,68.55662171
Fragile and conflict affected situations,FCS,1963,33.0530429
Heavily indebted poor countries (HIPC),HPC,1963,35.30036035
High income,HIC,1963,55.06825306
High income: nonOECD,NOC,1963,40.15533973
High income: OECD,OEC,1963,56.72546999
Latin America & Caribbean (all income levels),LCN,1963,26.62982815
Latin America & Caribbean (developing only),LAC,1963,22.47064134
Least developed countries: UN classification,LDC,1963,35.94545128
Low & middle income,LMY,1963,23.9207578
Low income,LIC,1963,39.24683264
Lower middle income,LMC,1963,28.14776587
Middle East & North Africa (all income levels),MEA,1963,22.2399171
Middle East & North Africa (developing only),MNA,1963,22.8630725
Middle income,MIC,1963,23.10063564
North America,NAC,1963,47.77619458
OECD members,OED,1963,54.04280428
Other small states,OSS,1963,58.32233868
Pacific island small states,PSS,1963,64.39683381
Small states,SST,1963,63.10729943
South Asia,SAS,1963,31.99668446
Sub-Saharan Africa (all income levels),SSF,1963,32.77723096
Sub-Saharan Africa (developing only),SSA,1963,32.74500464
Upper middle income,UMC,1963,20.03786688
World,WLD,1963,33.90571417
Afghanistan,AFG,1963,54.65
Albania,ALB,1963,28.52
Algeria,DZA,1963,39.83
American Samoa,ASM,1963,79.37
Angola,AGO,1963,30.37
Antigua and Barbuda,ATG,1963,149.1
Argentina,ARG,1963,43.17
Armenia,ARM,1963,57
Australia,AUS,1963,45.94
Austria,AUT,1963,75.01
Azerbaijan,AZE,1963,68.3
"Bahamas, The",BHS,1963,38.5
Bahrain,BHR,1963,55.03
Bangladesh,BGD,1963,39.72
Barbados,BRB,1963,142.77
Belarus,BLR,1963,112.8
Belize,BLZ,1963,12.49
Benin,BEN,1963,21.24
Bermuda,BMU,1963,146.77
Bhutan,BTN,1963,34.2
Bolivia,BOL,1963,22.2
Bosnia and Herzegovina,BIH,1963,80.6
Botswana,BWA,1963,63.76
Brazil,BRA,1963,16.73
Brunei Darussalam,BRN,1963,20.02
Bulgaria,BGR,1963,128.08
Burkina Faso,BFA,1963,23.36
Burundi,BDI,1963,64.57
Cabo Verde,CPV,1963,31.57
Cambodia,KHM,1963,42.75
Cameroon,CMR,1963,29.49
Canada,CAN,1963,44.13
Cayman Islands,CYM,1963,111.5
Central African Republic,CAF,1963,31.04
Chad,TCD,1963,45.44
Chile,CHL,1963,29.24
China,CHN,1963,14.88
Colombia,COL,1963,29.17
Comoros,COM,1963,46.35
"Congo, Dem. Rep.",ZAR,1963,61.44
"Congo, Rep.",COG,1963,40.73
Costa Rica,CRI,1963,16.67
Cote d'Ivoire,CIV,1963,19.68
Croatia,HRV,1963,104.8
Cuba,CUB,1963,73.72
Cyprus,CYP,1963,48.41
Czech Republic,CZE,1963,126.4
Denmark,DNK,1963,68.94
Djibouti,DJI,1963,14.23
Dominica,DMA,1963,81.36
Dominican Republic,DOM,1963,44.89
Ecuador,ECU,1963,28.27
"Egypt, Arab Rep.",EGY,1963,21.54
El Salvador,SLV,1963,39.71
Equatorial Guinea,GNQ,1963,125.07
Eritrea,ERI,1963,61.7
Estonia,EST,1963,138.6
Ethiopia,ETH,1963,53.5
Faeroe Islands,FRO,1963,17.09
Fiji,FJI,1963,70.11
Finland,FIN,1963,92.92
France,FRA,1963,71.87
French Polynesia,PYF,1963,116.89
Gabon,GAB,1963,47.9
"Gambia, The",GMB,1963,67.28
Georgia,GEO,1963,102.1
Germany,DEU,1963,79.49
Ghana,GHA,1963,28.43
Greece,GRC,1963,51.64
Greenland,GRL,1963,49.74
Grenada,GRD,1963,133.83
Guam,GUM,1963,40.14
Guatemala,GTM,1963,21.09
Guinea,GIN,1963,34.89
Guinea-Bissau,GNB,1963,39.26
Guyana,GUY,1963,61.8
Haiti,HTI,1963,67.7
Honduras,HND,1963,30.37
"Hong Kong SAR, China",HKG,1963,149.78
Hungary,HUN,1963,74.48
Iceland,ISL,1963,90.96
India,IND,1963,32.46
Indonesia,IDN,1963,20.46
"Iran, Islamic Rep.",IRN,1963,14.69
Iraq,IRQ,1963,45.3
Ireland,IRL,1963,48.13
Israel,ISR,1963,27.46
Italy,ITA,1963,73.41
Jamaica,JAM,1963,74.73
Japan,JPN,1963,73.84
Jordan,JOR,1963,31.85
Kazakhstan,KAZ,1963,125.9
Kenya,KEN,1963,24.43
Kiribati,KIR,1963,38.63
"Korea, Dem. Rep.",PRK,1963,38.71
"Korea, Rep.",KOR,1963,25.94
Kuwait,KWT,1963,9.97
Kyrgyz Republic,KGZ,1963,73
Lao PDR,LAO,1963,17.65
Latvia,LVA,1963,174.7
Lebanon,LBN,1963,33.01
Lesotho,LSO,1963,66.77
Liberia,LBR,1963,47.59
Libya,LBY,1963,14.99
Liechtenstein,LIE,1963,41.94
Lithuania,LTU,1963,114.5
"Macao SAR, China",MAC,1963,46.39
Madagascar,MDG,1963,48.48
Malawi,MWI,1963,23.95
Malaysia,MYS,1963,9.34
Maldives,MDV,1963,57.29
Mali,MLI,1963,31.01
Malta,MLT,1963,46.16
Marshall Islands,MHL,1963,102.9
Mauritania,MRT,1963,56.44
Mauritius,MUS,1963,83.43
Mexico,MEX,1963,26.23
Moldova,MDA,1963,160.5
Mongolia,MNG,1963,88.23
Morocco,MAR,1963,29.05
Mozambique,MOZ,1963,52.78
Myanmar,MMR,1963,24.74
Namibia,NAM,1963,69.8
Nepal,NPL,1963,29.21
Netherlands,NLD,1963,47.18
New Caledonia,NCL,1963,80.17
New Zealand,NZL,1963,43.11
Nicaragua,NIC,1963,34.46
Niger,NER,1963,30.33
Nigeria,NGA,1963,24.46
Norway,NOR,1963,84.83
Oman,OMN,1963,11.52
Pakistan,PAK,1963,22.24
Panama,PAN,1963,45
Papua New Guinea,PNG,1963,37.24
Paraguay,PRY,1963,20.96
Peru,PER,1963,30.09
Philippines,PHL,1963,29.09
Poland,POL,1963,74.74
Portugal,PRT,1963,83.57
Puerto Rico,PRI,1963,193.05
Qatar,QAT,1963,13.16
Romania,ROM,1963,59.25
Russian Federation,RUS,1963,113.3
Rwanda,RWA,1963,27.45
Samoa,WSM,1963,92.86
Sao Tome and Principe,STP,1963,68.73
Saudi Arabia,SAU,1963,9.54
Senegal,SEN,1963,69.61
Seychelles,SYC,1963,133.9
Sierra Leone,SLE,1963,36.93
Singapore,SGP,1963,418.73
Solomon Islands,SLB,1963,31.28
Somalia,SOM,1963,50.36
South Africa,ZAF,1963,44.87
Spain,ESP,1963,45.74
Sri Lanka,LKA,1963,46.59
St. Kitts and Nevis,KNA,1963,226.83
St. Lucia,LCA,1963,189.83
St. Vincent and the Grenadines,VCT,1963,92.56
Sudan,SDN,1963,23.86
Suriname,SUR,1963,48.27
Swaziland,SWZ,1963,37.41
Sweden,SWE,1963,98.29
Switzerland,CHE,1963,81.29
Syrian Arab Republic,SYR,1963,17.97
Tanzania,TZA,1963,28.54
Thailand,THA,1963,29.72
Timor-Leste,TMP,1963,82
Togo,TGO,1963,38.5
Tonga,TON,1963,109.28
Trinidad and Tobago,TTO,1963,98.96
Tunisia,TUN,1963,33.53
Turkey,TUR,1963,37.29
Tuvalu,TUV,1963,78.56
Uganda,UGA,1963,33.86
United Arab Emirates,ARE,1963,4.25
United Kingdom,GBR,1963,74.45
United States,USA,1963,48.23
Uruguay,URY,1963,46.52
Vanuatu,VUT,1963,67.56
"Venezuela, RB",VEN,1963,27.02
Vietnam,VNM,1963,22.26
Virgin Islands (U.S.),VIR,1963,246.28
"Yemen, Rep.",YEM,1963,29.6
Zambia,ZMB,1963,30
Zimbabwe,ZWE,1963,42.63
Arab World,ARB,1964,26.16135899
Caribbean small states,CSS,1964,73.73311313
East Asia & Pacific (all income levels),EAS,1964,22.04572518
East Asia & Pacific (developing only),EAP,1964,18.38490177
Euro area,EMU,1964,65.78687413
European Union,EUU,1964,68.66863576
Fragile and conflict affected situations,FCS,1964,34.23396193
Heavily indebted poor countries (HIPC),HPC,1964,36.46998299
High income,HIC,1964,55.50653277
High income: nonOECD,NOC,1964,39.11183848
High income: OECD,OEC,1964,57.32841453
