CountryName,CountryCode,Year,CO2 emissions (kt)
Peru,PER,1962,9970.573
Philippines,PHL,1962,10348.274
Poland,POL,1962,216815.042
Portugal,PRT,1962,9303.179
Qatar,QAT,1962,190.684
Romania,ROM,1962,63879.14
Rwanda,RWA,1962,84.341
Samoa,WSM,1962,18.335
Sao Tome and Principe,STP,1962,11.001
Saudi Arabia,SAU,1962,6255.902
Senegal,SEN,1962,814.074
Sierra Leone,SLE,1962,326.363
Singapore,SGP,1962,2577.901
Solomon Islands,SLB,1962,14.668
Somalia,SOM,1962,106.343
South Africa,ZAF,1962,105767.281
Spain,ESP,1962,60054.459
Sri Lanka,LKA,1962,2563.233
St. Kitts and Nevis,KNA,1962,14.668
St. Lucia,LCA,1962,18.335
St. Vincent and the Grenadines,VCT,1962,11.001
Sudan,SDN,1962,1485.135
Suriname,SUR,1962,495.045
Sweden,SWE,1962,51326.999
Switzerland,CHE,1962,24154.529
Syrian Arab Republic,SYR,1962,3204.958
Tanzania,TZA,1962,766.403
Thailand,THA,1962,5034.791
Togo,TGO,1962,88.008
Tonga,TON,1962,11.001
Trinidad and Tobago,TTO,1962,7238.658
Tunisia,TUN,1962,1796.83
Turkey,TUR,1962,21631.633
Uganda,UGA,1962,429.039
United Arab Emirates,ARE,1962,18.335
United Kingdom,GBR,1962,593360.937
United States,USA,1962,2987207.873
Uruguay,URY,1962,4011.698
Vanuatu,VUT,1962,40.337
"Venezuela, RB",VEN,1962,54106.585
Vietnam,VNM,1962,9347.183
"Yemen, Rep.",YEM,1962,3887.02
Afghanistan,AFG,1963,707.731
Albania,ALB,1963,2082.856
Algeria,DZA,1963,5427.16
Angola,AGO,1963,1151.438
Antigua and Barbuda,ATG,1963,84.341
Argentina,ARG,1963,50083.886
Australia,AUS,1963,101029.517
Austria,AUT,1963,36992.696
"Bahamas, The",BHS,1963,707.731
Bahrain,BHR,1963,1195.442
Barbados,BRB,1963,190.684
Belgium,BEL,1963,105781.949
Belize,BLZ,1963,62.339
Benin,BEN,1963,121.011
Bermuda,BMU,1963,150.347
Bolivia,BOL,1963,1213.777
Brazil,BRA,1963,55617.389
Brunei Darussalam,BRN,1963,355.699
Bulgaria,BGR,1963,34411.128
Burkina Faso,BFA,1963,88.008
Burundi,BDI,1963,47.671
Cabo Verde,CPV,1963,14.668
Cambodia,KHM,1963,388.702
Cameroon,CMR,1963,300.694
Canada,CAN,1963,211109.19
Cayman Islands,CYM,1963,11.001
Chad,TCD,1963,91.675
Chile,CHL,1963,17355.911
China,CHN,1963,436695.696
Colombia,COL,1963,21257.599
Comoros,COM,1963,11.001
"Congo, Dem. Rep.",ZAR,1963,2295.542
"Congo, Rep.",COG,1963,234.688
Costa Rica,CRI,1963,601.388
Cote d'Ivoire,CIV,1963,623.39
Cuba,CUB,1963,13039.852
Cyprus,CYP,1963,986.423
Denmark,DNK,1963,40707.367
Djibouti,DJI,1963,66.006
Dominica,DMA,1963,14.668
Dominican Republic,DOM,1963,1250.447
Ecuador,ECU,1963,1796.83
"Egypt, Arab Rep.",EGY,1963,21554.626
El Salvador,SLV,1963,1125.769
Equatorial Guinea,GNQ,1963,25.669
Ethiopia,ETH,1963,421.705
Faeroe Islands,FRO,1963,124.678
Fiji,FJI,1963,242.022
Finland,FIN,1963,19358.093
France,FRA,1963,334019.696
French Polynesia,PYF,1963,66.006
Gabon,GAB,1963,73.34
"Gambia, The",GMB,1963,29.336
Ghana,GHA,1963,1723.49
Greece,GRC,1963,12258.781
Greenland,GRL,1963,330.03
Grenada,GRD,1963,14.668
Guatemala,GTM,1963,1521.805
Guinea,GIN,1963,696.73
Guinea-Bissau,GNB,1963,47.671
Guyana,GUY,1963,616.056
Haiti,HTI,1963,249.356
Honduras,HND,1963,711.398
"Hong Kong SAR, China",HKG,1963,4250.053
Hungary,HUN,1963,56281.116
Iceland,ISL,1963,1305.452
India,IND,1963,154083.673
Indonesia,IDN,1963,22783.071
"Iran, Islamic Rep.",IRN,1963,41341.758
Iraq,IRQ,1963,9394.854
Ireland,IRL,1963,13461.557
Israel,ISR,1963,8210.413
Italy,ITA,1963,164780.312
Jamaica,JAM,1963,2398.218
Japan,JPN,1963,325222.563
Jordan,JOR,1963,1221.111
Kenya,KEN,1963,2856.593
Kiribati,KIR,1963,18.335
"Korea, Rep.",KOR,1963,21103.585
Kuwait,KWT,1963,17025.881
Lao PDR,LAO,1963,146.68
Lebanon,LBN,1963,3028.942
Liberia,LBR,1963,355.699
Libya,LBY,1963,1463.133
Luxembourg,LUX,1963,11448.374
"Macao SAR, China",MAC,1963,106.343
Madagascar,MDG,1963,462.042
Mali,MLI,1963,176.016
Malta,MLT,1963,410.704
Mauritania,MRT,1963,88.008
Mauritius,MUS,1963,209.019
Mexico,MEX,1963,66361.699
Mongolia,MNG,1963,1602.479
Morocco,MAR,1963,3960.36
Mozambique,MOZ,1963,1661.151
Myanmar,MMR,1963,2636.573
Nepal,NPL,1963,99.009
Netherlands,NLD,1963,91227.626
New Caledonia,NCL,1963,619.723
New Zealand,NZL,1963,12229.445
Nicaragua,NIC,1963,843.41
Niger,NER,1963,88.008
Nigeria,NGA,1963,5350.153
Norway,NOR,1963,14983.362
Pakistan,PAK,1963,18514.683
Palau,PLW,1963,55.005
Panama,PAN,1963,1184.441
Papua New Guinea,PNG,1963,256.69
Paraguay,PRY,1963,410.704
Peru,PER,1963,10234.597
Philippines,PHL,1963,11485.044
Poland,POL,1963,231219.018
Portugal,PRT,1963,10025.578
Qatar,QAT,1963,6138.558
Romania,ROM,1963,69529.987
Rwanda,RWA,1963,84.341
Samoa,WSM,1963,22.002
Sao Tome and Principe,STP,1963,7.334
Saudi Arabia,SAU,1963,6945.298
Senegal,SEN,1963,861.745
Seychelles,SYC,1963,7.334
Sierra Leone,SLE,1963,370.367
Singapore,SGP,1963,3399.309
Solomon Islands,SLB,1963,14.668
Somalia,SOM,1963,102.676
South Africa,ZAF,1963,109826.65
Spain,ESP,1963,58822.347
Sri Lanka,LKA,1963,2533.897
St. Kitts and Nevis,KNA,1963,18.335
St. Lucia,LCA,1963,22.002
St. Vincent and the Grenadines,VCT,1963,14.668
Sudan,SDN,1963,1679.486
Suriname,SUR,1963,531.715
Sweden,SWE,1963,55371.7
Switzerland,CHE,1963,29104.979
Syrian Arab Republic,SYR,1963,3611.995
Tanzania,TZA,1963,803.073
Thailand,THA,1963,5570.173
Togo,TGO,1963,106.343
Tonga,TON,1963,11.001
Trinidad and Tobago,TTO,1963,1309.119
Tunisia,TUN,1963,1947.177
Turkey,TUR,1963,22669.394
Uganda,UGA,1963,432.706
United Arab Emirates,ARE,1963,22.002
United Kingdom,GBR,1963,603822.888
United States,USA,1963,3119230.874
Uruguay,URY,1963,4319.726
Vanuatu,VUT,1963,33.003
"Venezuela, RB",VEN,1963,56204.109
Vietnam,VNM,1963,9119.829
"Yemen, Rep.",YEM,1963,2918.932
Afghanistan,AFG,1964,839.743
Albania,ALB,1964,2016.85
Algeria,DZA,1964,5650.847
Angola,AGO,1964,1224.778
Antigua and Barbuda,ATG,1964,91.675
Argentina,ARG,1964,55727.399
Australia,AUS,1964,108979.573
Austria,AUT,1964,38943.54
"Bahamas, The",BHS,1964,1085.432
Bahrain,BHR,1964,1598.812
Barbados,BRB,1964,179.683
Belgium,BEL,1964,103662.423
Belize,BLZ,1964,84.341
Benin,BEN,1964,143.013
Bermuda,BMU,1964,201.685
Bolivia,BOL,1964,1481.468
Brazil,BRA,1964,56735.824
Brunei Darussalam,BRN,1964,341.031
Bulgaria,BGR,1964,42863.563
Burkina Faso,BFA,1964,110.01
Burundi,BDI,1964,47.671
Cabo Verde,CPV,1964,29.336
Cambodia,KHM,1964,341.031
Cameroon,CMR,1964,337.364
Canada,CAN,1964,237801.283
Cayman Islands,CYM,1964,11.001
Chad,TCD,1964,99.009
Chile,CHL,1964,17524.593
China,CHN,1964,436923.05
Colombia,COL,1964,21708.64
Comoros,COM,1964,11.001
