CountryName,CountryCode,Year,HarvestingLand
Cabo Verde,CPV,1964,16.12903226
Cambodia,KHM,1964,20.3659642
Cameroon,CMR,1964,16.24674748
Canada,CAN,1964,7.720671116
Cayman Islands,CYM,1964,11.25
Central African Republic,CAF,1964,7.656746605
Chad,TCD,1964,38.01587302
Channel Islands,CHI,1964,46.39175258
Chile,CHL,1964,18.69186531
China,CHN,1964,37.36585626
Colombia,COL,1964,37.85038306
Comoros,COM,1964,51.04782375
"Congo, Dem. Rep.",ZAR,1964,11.08489006
"Congo, Rep.",COG,1964,30.87262079
Costa Rica,CRI,1964,29.08343126
Cote d'Ivoire,CIV,1964,50.25157233
Cuba,CUB,1964,44.27374302
Cyprus,CYP,1964,43.61471861
Denmark,DNK,1964,72.40972386
Djibouti,DJI,1964,56.12597066
Dominica,DMA,1964,22.66666667
Dominican Republic,DOM,1964,46.25413907
Ecuador,ECU,1964,17.04955931
"Egypt, Arab Rep.",EGY,1964,2.517454418
El Salvador,SLV,1964,60.33573141
Equatorial Guinea,GNQ,1964,11.58645276
Ethiopia,ETH,1964,52.9791099
Faeroe Islands,FRO,1964,2.148997135
Fiji,FJI,1964,12.47947455
Finland,FIN,1964,9.276732657
France,FRA,1964,62.2920342
