CountryName,CountryCode,Year,Arable land (% of land area)
Nicaragua,NIC,1963,8.559082599
Niger,NER,1963,9.077919002
Nigeria,NGA,1963,29.11482592
Norway,NOR,1963,2.332680803
Oman,OMN,1963,0.064620355
Pakistan,PAK,1963,39.86353259
Panama,PAN,1963,5.891848265
Papua New Guinea,PNG,1963,0.165614097
Paraguay,PRY,1963,1.834885477
Peru,PER,1963,1.71875
Philippines,PHL,1963,16.29450815
Poland,POL,1963,51.36635215
Portugal,PRT,1963,27.31147541
Puerto Rico,PRI,1963,23.90078918
Qatar,QAT,1963,0.086132644
Romania,ROM,1963,42.7758965
Rwanda,RWA,1963,20.0648561
Samoa,WSM,1963,3.886925795
San Marino,SMR,1963,16.66666667
Sao Tome and Principe,STP,1963,1.041666667
Saudi Arabia,SAU,1963,0.548916355
Senegal,SEN,1963,15.75338908
Seychelles,SYC,1963,2.173913043
Sierra Leone,SLE,1963,5.056802438
Singapore,SGP,1963,5.970149254
Solomon Islands,SLB,1963,0.357270454
Somalia,SOM,1963,1.436222782
South Africa,ZAF,1963,9.974527859
Spain,ESP,1963,32.42426668
Sri Lanka,LKA,1963,12.62956466
St. Kitts and Nevis,KNA,1963,28.57142857
St. Lucia,LCA,1963,8.196721311
St. Vincent and the Grenadines,VCT,1963,15.38461538
Sudan,SDN,1963,4.619107744
Suriname,SUR,1963,0.185897436
Swaziland,SWZ,1963,7.5
Sweden,SWE,1963,8.025052396
Switzerland,CHE,1963,9.813296903
Syrian Arab Republic,SYR,1963,34.28011753
Tanzania,TZA,1963,6.886430345
Thailand,THA,1963,21.13957995
Timor-Leste,TMP,1963,4.707464694
Togo,TGO,1963,33.09431881
Tonga,TON,1963,19.44444444
Trinidad and Tobago,TTO,1963,11.11111111
Tunisia,TUN,1963,19.95365602
Turkey,TUR,1963,31.04738641
Turks and Caicos Islands,TCA,1963,1.052631579
Uganda,UGA,1963,16.36054252
United Arab Emirates,ARE,1963,0.059808612
United Kingdom,GBR,1963,30.0706816
United States,USA,1963,19.60637452
Uruguay,URY,1963,13.35847332
Vanuatu,VUT,1963,0.820344545
"Venezuela, RB",VEN,1963,3.291196644
Vietnam,VNM,1963,17.05121509
Virgin Islands (U.S.),VIR,1963,17.14285714
West Bank and Gaza,WBG,1963,16.61129568
"Yemen, Rep.",YEM,1963,2.433850408
Zambia,ZMB,1963,3.465206688
Zimbabwe,ZWE,1963,5.131187799
Arab World,ARB,1964,3.428280514
Caribbean small states,CSS,1964,1.744071146
Central Europe and the Baltics,CEB,1964,47.36399517
East Asia & Pacific (all income levels),EAS,1964,8.429321946
East Asia & Pacific (developing only),EAP,1964,9.975088803
Euro area,EMU,1964,30.04464882
European Union,EUU,1964,31.40689838
Fragile and conflict affected situations,FCS,1964,4.714422916
Heavily indebted poor countries (HIPC),HPC,1964,5.16120874
High income,HIC,1964,10.69733514
High income: OECD,OEC,1964,12.01778902
Latin America & Caribbean (all income levels),LCN,1964,4.674401882
Latin America & Caribbean (developing only),LAC,1964,4.168152613
Least developed countries: UN classification,LDC,1964,5.824182404
Low & middle income,LMY,1964,9.440874199
Low income,LIC,1964,6.044805315
Lower middle income,LMC,1964,16.83193287
Middle East & North Africa (all income levels),MEA,1964,4.426158325
Middle East & North Africa (developing only),MNA,1964,5.573956734
Middle income,MIC,1964,10.2482444
North America,NAC,1964,12.05041276
OECD members,OED,1964,12.3222339
Other small states,OSS,1964,1.347016144
Pacific island small states,PSS,1964,2.117497214
Small states,SST,1964,1.437016583
South Asia,SAS,1964,43.53080955
Sub-Saharan Africa (all income levels),SSF,1964,5.886609605
Sub-Saharan Africa (developing only),SSA,1964,5.888552287
Upper middle income,UMC,1964,6.921360421
World,WLD,1964,9.884077685
Afghanistan,AFG,1964,11.9474313
Albania,ALB,1964,16.16788321
Algeria,DZA,1964,2.574588326
American Samoa,ASM,1964,5
Andorra,ADO,1964,2.127659574
Angola,AGO,1964,2.205823374
Antigua and Barbuda,ATG,1964,15.90909091
Argentina,ARG,1964,7.308098469
Aruba,ABW,1964,11.11111111
Australia,AUS,1964,4.605391614
Austria,AUT,1964,20.06539114
"Bahamas, The",BHS,1964,0.699300699
Bahrain,BHR,1964,1.449275362
Bangladesh,BGD,1964,66.37474072
Barbados,BRB,1964,37.20930233
Belize,BLZ,1964,1.622095572
Benin,BEN,1964,8.691025186
Bermuda,BMU,1964,8
Bhutan,BTN,1964,2.140273527
Bolivia,BOL,1964,1.237884243
Botswana,BWA,1964,0.70403896
Brazil,BRA,1964,3.230383794
Brunei Darussalam,BRN,1964,0.759013283
Bulgaria,BGR,1964,37.783603
Burkina Faso,BFA,1964,7.854532164
Burundi,BDI,1964,28.97196262
Cabo Verde,CPV,1964,9.429280397
Cambodia,KHM,1964,16.42873329
Cameroon,CMR,1964,10.89462884
Canada,CAN,1964,4.616919099
Cayman Islands,CYM,1964,0.833333333
Central African Republic,CAF,1964,2.744871424
Chad,TCD,1964,2.299206349
Channel Islands,CHI,1964,20.6185567
Chile,CHL,1964,4.9762485
China,CHN,1964,10.85399302
Colombia,COL,1964,3.199639477
Comoros,COM,1964,34.92745836
"Congo, Dem. Rep.",ZAR,1964,2.814229946
"Congo, Rep.",COG,1964,1.516837482
Costa Rica,CRI,1964,5.581668625
Cote d'Ivoire,CIV,1964,5.283018868
Cuba,CUB,1964,16.40595903
Cyprus,CYP,1964,34.95670996
Denmark,DNK,1964,64.33797498
Djibouti,DJI,1964,0.043140638
Dominica,DMA,1964,10.66666667
Dominican Republic,DOM,1964,15.52152318
Ecuador,ECU,1964,6.176853056
"Egypt, Arab Rep.",EGY,1964,2.433070471
El Salvador,SLV,1964,23.26139089
Equatorial Guinea,GNQ,1964,4.31372549
Ethiopia,ETH,1964,10.5640327
Faeroe Islands,FRO,1964,2.148997135
Fiji,FJI,1964,4.707170224
Finland,FIN,1964,8.89589284
France,FRA,1964,34.84146203
French Polynesia,PYF,1964,0.546448087
Gabon,GAB,1964,0.465711957
"Gambia, The",GMB,1964,12.25296443
Germany,DEU,1964,34.83229743
